Latitude,Longitude,Analyst
18°14?04.3900?N,109°42?17.4100?E,Shagun
18°12?36.0900?N,109°41?22.6100?E,Shagun
18°10?29.8500?N,109°33?36.5900?E,Shagun
18°12?30.6600?N,109°32?10.9700?E,Shagun
18°12?52.4500?N,109°30?12.6200?E,Shagun
18°11?46.4400?N,109°28?46.9100?E,Shagun
18°23?30.0738?N,110°02?38.4853?E,Shagun
19°54?29.6000?N,109°31?14.1300?E,Shagun
29°18?34.3632?N,94°21?04.5272?E,Shagun
21°23?13.8700?N,110°11?23.8000?E,Shagun
22°34?54.9800?N,108°12?55.7200?E,Shagun
25°07?11.9815?N,110°17?16.6962?E,Shagun
26°35?59.8400?N,112°53?57.2100?E,Shagun
38°00?53.3500?N,58°10?37.6300?E,Shagun
38°02?33.2800?N,58°20?19.5100?E,Shagun
37°56?04.9100?N,58°16?34.5600?E,Shagun
37°53?39.8100?N,58°25?37.5300?E,Shagun
37°58?25.7300?N,58°30?06.7800?E,Shagun
37°22?58.1700?N,59°37?40.2000?E,Shagun
37°21?26.3804?N,59°37?26.5413?E,Shagun
36°12?10.7600?N,59°47?03.7161?E,Shagun
36°39?04.1200?N,61°14?40.5600?E,Shagun
37°36?42.3200?N,61°53?18.0100?E,Shagun
37°14?22.1900?N,67°14?36.4200?E,Shagun
40°13?28.9000?N,69°40?11.4700?E,Shagun
42°22?13.7300?N,69°27?45.1400?E,Shagun
43°20?01.8700?N,76°51?30.7300?E,Shagun
43°23?28.5412?N,76°55?05.3792?E,Shagun
43°44?00.4900?N,77°06?26.6600?E,Shagun
43°59?21.7500?N,80°53?47.2600?E,Shagun
48°33?44.0600?N,83°37?49.5200?E,Shagun
47°45?09.6100?N,84°10?43.3500?E,Shagun
48°01?35.8000?N,85°22?00.2500?E,Shagun
48°02?36.0900?N,86°24?23.1000?E,Shagun
49°36?16.7400?N,83°03?50.7600?E,Shagun
49°51?41.0485?N,72°47?47.4196?E,Shagun
50°59?38.4900?N,72°05?25.7800?E,Shagun
51°03?43.3700?N,70°57?38.4600?E,Shagun
50°18?05.7500?N,66°56?00.7500?E,Shagun
48°46?03.8300?N,58°03?41.2000?E,Shagun
51°43?14.9300?N,54°57?39.8700?E,Shagun
51°08?03.1100?N,49°38?26.7000?E,Shagun
41°05?32.8000?N,100°30?03.1500?E,Shagun
39°32?18.7057?N,76°02?13.6721?E,Shagun
32°00?40.0390?N,72°11?11.1205?E,Shagun
33°37?11.1248?N,73°05?20.8583?E,Shagun
32°03?11.7719?N,72°40?06.4257?E,Shagun
29°59?35.8307?N,70°35?07.1621?E,Shagun
38°08?22.3100?N,102°43?54.1100?E,Shagun
38°51?10.4900?N,105°40?46.7700?E,Shagun
38°33?26.2000?N,106°22?14.9700?E,Shagun
28°53?46.5154?N,89°31?16.7555?E,Shagun
30°09?41.2030?N,97°18?04.4158?E,Shagun
36°49?23.5100?N,100°45?31.5200?E,Shagun
37°59?38.4200?N,102°33?06.5000?E,Shagun
38°56?55.1562?N,101°07?57.0858?E,Shagun
24°45?11.9300?N,102°48?14.9600?E,Shagun
21°14?41.4600?N,109°46?56.0100?E,Shagun
21°14?05.0543?N,109°46?35.4086?E,Shagun
23°09?11.6200?N,113°23?48.5300?E,Shagun
55°23?04.6900?N,37°58?36.8300?E,Shagun
35°41?32.7700?N,51°15?52.9800?E,Shagun
35°42?03.5600?N,51°16?17.7800?E,Shagun
31°00?28.2600?N,16°36?43.4300?E,Shagun
48°24?44.1883?N,17°47?27.2677?E,Shagun
47°15?59.6500?N,5°05?27.5400?E,Shagun
37°18?50.7000?N,6°00?40.9500?W,Shagun
47°42?31.7700?N,17°41?05.5300?E,Shagun
39°47?13.9200?N,30°33?26.0700?E,Shagun
37°00?30.7700?N,35°23?56.6900?E,Shagun
37°01?06.4100?N,35°26?53.9000?E,Shagun
37°00?31.5900?N,35°26?56.0600?E,Shagun
38°39?12.0833?N,0°16?36.2515?W,Shagun
39°43?04.1200?N,0°34?22.3600?W,Shagun
41°22?33.9860?N,1°29?53.1935?W,Shagun
22°04?09.9588?N,159°47?06.7849?W,Shagun
41°33?14.4589?N,15°41?50.0543?E,Shagun
44°16?02.0662?N,12°17?29.7148?E,Shagun
45°00?54.4929?N,10°48?23.5891?E,Shagun
44°59?40.1893?N,10°07?52.1305?E,Shagun
45°25?31.6725?N,10°16?28.8019?E,Shagun
45°23?38.8270?N,11°50?43.3149?E,Shagun
45°52?16.5937?N,11°13?34.5051?E,Shagun
46°23?49.0011?N,17°43?51.9453?E,Shagun
46°28?26.8773?N,18°36?59.7511?E,Shagun
47°15?21.7803?N,17°27?48.5311?E,Shagun
47°21?51.9184?N,17°29?48.5584?E,Shagun
24°06?11.3201?N,52°30?57.4343?E,Shagun
24°04?30.5250?N,52°42?01.8186?E,Shagun
24°07?41.7483?N,52°50?12.3182?E,Shagun
24°23?10.7228?N,54°12?58.6717?E,Shagun
24°13?37.2733?N,54°28?35.6914?E,Shagun
24°14?01.2649?N,54°34?20.4611?E,Shagun
24°13?21.2718?N,54°36?50.2586?E,Shagun
24°19?25.0283?N,54°39?52.9326?E,Shagun
24°26?49.9144?N,54°31?19.4362?E,Shagun
24°40?45.6146?N,54°41?09.3053?E,Shagun
24°45?50.3997?N,54°45?18.6537?E,Shagun
24°14?50.4290?N,55°36?48.3719?E,Shagun
21°29?15.2878?N,40°34?04.2576?E,Shagun
21°30?10.4796?N,40°34?12.3953?E,Shagun
21°29?32.3484?N,40°34?22.2198?E,Shagun
21°27?44.3749?N,40°30?09.5687?E,Shagun
21°15?38.7153?N,39°16?35.7958?E,Shagun
21°25?28.7511?N,39°11?57.6111?E,Shagun
21°32?19.9201?N,39°07?18.5811?E,Shagun
21°41?38.0264?N,39°10?34.0758?E,Shagun
37°55?19.0073?N,12°28?50.0972?E,Shagun
37°54?22.8964?N,12°30?17.0734?E,Shagun
24°02?36.6880?N,38°09?11.7720?E,Shagun
28°17?17.9262?N,36°30?58.2417?E,Shagun
24°08?56.1595?N,38°14?46.5117?E,Shagun
24°08?15.0937?N,38°04?56.4599?E,Shagun
28°20?27.1631?N,36°38?55.6325?E,Shagun
28°20?26.8043?N,36°40?06.6238?E,Shagun
28°20?50.1171?N,36°41?01.5593?E,Shagun
28°26?01.1076?N,36°31?55.6551?E,Shagun
30°18?10.9896?N,36°04?56.1870?E,Shagun
30°19?01.5197?N,36°12?34.5025?E,Shagun
31°48?17.9199?N,36°05?52.5407?E,Shagun
31°49?41.5996?N,35°48?38.4027?E,Shagun
32°00?55.3104?N,35°51?19.4930?E,Shagun
32°06?37.4391?N,35°55?04.1146?E,Shagun
32°05?11.1711?N,36°07?39.5989?E,Shagun
32°03?00.0455?N,36°13?52.1283?E,Shagun
32°11?45.4700?N,36°03?39.0561?E,Shagun
32°14?42.1037?N,36°14?21.7537?E,Shagun
31°58?19.1947?N,36°33?00.1672?E,Shagun
31°53?30.1139?N,36°37?59.3529?E,Shagun
31°51?48.5669?N,36°40?17.2469?E,Shagun
27°51?50.2360?N,45°31?52.5846?E,Shagun
27°59?57.3433?N,45°36?53.5959?E,Shagun
28°02?56.1068?N,45°30?39.9945?E,Shagun
24°54?43.5120?N,46°39?27.2739?E,Shagun
24°57?29.4586?N,46°53?56.6633?E,Shagun
24°33?39.3656?N,46°39?59.5340?E,Shagun
24°44?24.9344?N,46°44?00.2558?E,Shagun
24°10?49.4443?N,47°22?49.5885?E,Shagun
